date,region,category,value
2015-03-30,East,Office Supplies,60.15
2015-03-30,West,Furniture,205.666
2015-03-30,West,Office Supplies,60.239999999999995
2015-03-31,West,Office Supplies,726.548
2015-03-31,South,Furniture,1125.488
2015-03-31,South,Office Supplies,18.546
2015-03-31,Central,Technology,79.984
2015-03-31,Central,Office Supplies,8.134
2015-03-31,East,Office Supplies,0.852
2015-04-01,East,Office Supplies,73.19999999999999
2015-04-01,West,Office Supplies,46.688
2015-04-02,Central,Office Supplies,60.208
2015-04-02,South,Furniture,177.68
2015-04-02,South,Office Supplies,170.74
2015-04-02,South,Technology,1049.93
2015-04-04,West,Office Supplies,26.084
2015-04-04,South,Technology,99.98
2015-04-04,South,Office Supplies,264.95
2015-04-04,Central,Office Supplies,79.36
2015-04-04,Central,Furniture,5.47
2015-04-05,Central,Office Supplies,872.3380000000001
2015-04-05,East,Office Supplies,55.48
2015-04-05,South,Office Supplies,4222.93
2015-04-05,South,Technology,28.99
2015-04-06,West,Technology,333.87
2015-04-06,West,Office Supplies,211.438
2015-04-06,West,Furniture,778.6199999999999
2015-04-06,East,Technology,116.784
2015-04-06,East,Office Supplies,55.214
2015-04-06,East,Furniture,154.764
2015-04-07,South,Furniture,8.96
2015-04-07,South,Office Supplies,181.29
2015-04-07,South,Technology,830.9200000000001
2015-04-08,East,Furniture,172.11
2015-04-08,South,Furniture,1215.92
2015-04-08,West,Furniture,99.592
2015-04-08,West,Office Supplies,71.168
2015-04-08,West,Technology,399.96
2015-04-11,Central,Technology,758.352
2015-04-11,South,Office Supplies,17.28
2015-04-11,South,Technology,719.9200000000001
2015-04-11,West,Office Supplies,96.664
2015-04-11,West,Technology,323.024
2015-04-12,West,Technology,1513.456
2015-04-12,West,Office Supplies,18.088
2015-04-12,West,Furniture,308.499
2015-04-12,Central,Office Supplies,32.4
2015-04-13,East,Technology,71.928
2015-04-13,East,Office Supplies,566.648
2015-04-15,West,Furniture,187.76
2015-04-15,West,Office Supplies,106.96
2015-04-16,South,Office Supplies,39.072
2015-04-18,West,Technology,287.968
2015-04-18,Central,Technology,227.976
2015-04-18,West,Office Supplies,35.489999999999995
2015-04-18,Central,Furniture,317.058
2015-04-18,Central,Office Supplies,152.04
2015-04-19,West,Furniture,76.14
2015-04-19,South,Office Supplies,129.32999999999998
2015-04-20,Central,Furniture,1145.69
2015-04-20,Central,Office Supplies,44.84
2015-04-20,West,Furniture,59.92
2015-04-21,South,Office Supplies,828.84
2015-04-21,West,Office Supplies,16.52
2015-04-22,East,Office Supplies,257.752
2015-04-23,West,Office Supplies,48.91
2015-04-23,East,Furniture,585.08
2015-04-23,East,Office Supplies,9.99
2015-04-25,Central,Office Supplies,16.608
2015-04-25,South,Technology,302.376
2015-04-25,West,Furniture,1790.29
2015-04-25,West,Office Supplies,270.72
2015-04-26,West,Furniture,230.28
2015-04-26,West,Office Supplies,52.288
2015-04-28,West,Technology,1679.96
2015-04-28,East,Office Supplies,738.5360000000001
2015-04-28,East,Technology,159.98
2015-04-29,East,Furniture,17.46
2015-04-29,East,Technology,19.98
2015-04-29,South,Furniture,613.544
2015-04-29,South,Office Supplies,117.86
2015-04-30,South,Office Supplies,1000.95
2015-04-30,South,Technology,47.79
2015-05-02,South,Technology,479.984
2015-05-02,East,Office Supplies,26.136
2015-05-03,East,Office Supplies,51.072
2015-05-03,Central,Office Supplies,21.56
2015-05-04,Central,Office Supplies,90.112
2015-05-04,East,Furniture,27.46
2015-05-04,West,Furniture,12.18
2015-05-04,West,Office Supplies,57.68
2015-05-05,Central,Furniture,127.869
2015-05-05,Central,Office Supplies,45.248
2015-05-05,South,Office Supplies,87.86
2015-05-06,West,Office Supplies,254.456
2015-05-07,East,Office Supplies,24.78
2015-05-07,East,Furniture,1066.5700000000002
2015-05-08,East,Technology,1799.97
2015-05-09,South,Office Supplies,158.70999999999998
2015-05-09,West,Technology,235.76999999999998
2015-05-10,East,Furniture,349.965
2015-05-10,East,Office Supplies,22.32
2015-05-10,West,Furniture,256.784
2015-05-10,West,Office Supplies,239.13
2015-05-10,West,Technology,1475.6
2015-05-11,East,Office Supplies,35.91
2015-05-11,Central,Technology,205.768
2015-05-11,Central,Office Supplies,122.05199999999999
2015-05-11,Central,Furniture,1279.0720000000001
2015-05-12,Central,Furniture,34.79
2015-05-12,East,Furniture,700.056
2015-05-13,South,Office Supplies,405.45599999999996
2015-05-13,West,Furniture,279.456
2015-05-13,West,Office Supplies,63.5
2015-05-13,West,Technology,149.97
2015-05-14,South,Furniture,310.88
2015-05-16,West,Technology,56.4
2015-05-16,West,Furniture,232.88
2015-05-17,Central,Office Supplies,91.68
2015-05-18,East,Furniture,149.232
2015-05-18,East,Office Supplies,15.936
2015-05-18,East,Technology,779.796
2015-05-19,Central,Office Supplies,57.42
2015-05-19,South,Office Supplies,34.2
2015-05-20,East,Office Supplies,71.80000000000001
2015-05-20,East,Furniture,139.86
2015-05-20,Central,Technology,20.784
2015-05-20,Central,Office Supplies,77.32799999999999
2015-05-20,Central,Furniture,10.332
2015-05-21,Central,Furniture,107.772
2015-05-21,Central,Office Supplies,79.136
2015-05-21,East,Office Supplies,711.6800000000001
2015-05-21,South,Office Supplies,2715.93
2015-05-21,South,Technology,617.97
2015-05-21,West,Office Supplies,31.84
2015-05-22,South,Technology,180.93
2015-05-23,East,Office Supplies,255.61
2015-05-23,East,Technology,55.188
2015-05-23,West,Office Supplies,12.96
2015-05-24,East,Office Supplies,116.28
2015-05-25,Central,Furniture,29.32
2015-05-25,Central,Office Supplies,75.6
2015-05-25,East,Office Supplies,14.62
2015-05-26,West,Technology,285.568
2015-05-26,West,Furniture,515.962
2015-05-26,West,Office Supplies,48.4
2015-05-26,Central,Furniture,359.772
2015-05-26,Central,Office Supplies,116.01599999999999
2015-05-27,Central,Office Supplies,17.46
2015-05-27,West,Furniture,567.12
2015-05-27,West,Office Supplies,359.32
2015-05-27,West,Technology,1213.494
2015-05-28,West,Office Supplies,136.96
2015-05-28,West,Technology,85.00800000000001
2015-05-30,Central,Technology,719.976
2015-05-30,Central,Furniture,355.455
2015-05-30,East,Office Supplies,371.86199999999997
2015-05-30,East,Technology,464.0
2015-05-30,South,Office Supplies,13.62
2015-05-31,South,Technology,773.7
2015-06-01,South,Furniture,22.2
2015-06-01,East,Office Supplies,334.68
2015-06-01,South,Technology,881.93
2015-06-01,Central,Furniture,2001.86
2015-06-01,Central,Office Supplies,1947.85
2015-06-02,West,Furniture,73.32
2015-06-02,West,Office Supplies,59.808
2015-06-02,South,Office Supplies,365.5
2015-06-02,South,Technology,239.97
2015-06-03,Central,Office Supplies,15.28
2015-06-03,West,Furniture,515.88
2015-06-04,East,Furniture,424.48799999999994
2015-06-04,East,Office Supplies,31.784
2015-06-06,Central,Office Supplies,138.812
2015-06-06,East,Furniture,991.764
2015-06-06,East,Office Supplies,180.04400000000004
2015-06-06,South,Office Supplies,63.381
2015-06-07,Central,Furniture,268.935
2015-06-07,Central,Office Supplies,12.462
2015-06-08,East,Office Supplies,1745.3600000000001
2015-06-08,South,Furniture,170.352
2015-06-08,West,Furniture,585.552
2015-06-09,West,Technology,1818.576
2015-06-09,West,Furniture,1792.444
2015-06-09,West,Office Supplies,268.344
2015-06-09,Central,Technology,71.976
2015-06-09,South,Furniture,1441.3
2015-06-09,Central,Office Supplies,70.368
2015-06-10,Central,Office Supplies,491.55
2015-06-13,West,Office Supplies,14.52
2015-06-14,Central,Furniture,212.94
2015-06-15,Central,Furniture,897.862
2015-06-15,Central,Office Supplies,45.111999999999995
2015-06-16,East,Office Supplies,115.952
2015-06-16,Central,Furniture,647.84
2015-06-17,East,Technology,65.97
2015-06-17,West,Furniture,6.24
2015-06-17,West,Office Supplies,3284.2760000000003
2015-06-18,West,Technology,139.8
2015-06-20,Central,Furniture,193.0656
2015-06-20,Central,Office Supplies,1015.5
2015-06-20,Central,Technology,620.384
2015-06-21,West,Office Supplies,36.252
2015-06-21,South,Furniture,104.01
2015-06-21,South,Technology,284.82
2015-06-21,East,Office Supplies,182.828
2015-06-21,East,Technology,3458.709
2015-06-21,East,Furniture,3.984
2015-06-21,South,Office Supplies,36.84
2015-06-22,Central,Office Supplies,663.75
2015-06-22,East,Furniture,1023.9879999999999
2015-06-22,East,Technology,82.782
2015-06-22,West,Office Supplies,8.226
2015-06-22,West,Technology,196.752
2015-06-23,East,Technology,86.376
2015-06-23,South,Office Supplies,23.119999999999997
2015-06-24,West,Furniture,4.272
2015-06-25,West,Furniture,447.84
2015-06-25,West,Office Supplies,80.96000000000001
2015-06-25,West,Technology,263.96
2015-06-27,South,Furniture,85.98
2015-06-27,South,Office Supplies,306.2
2015-06-27,South,Technology,223.96
2015-06-28,East,Furniture,1228.465
2015-06-28,East,Office Supplies,411.246
2015-06-28,Central,Office Supplies,6.08
2015-06-29,East,Office Supplies,46.68
2015-06-30,Central,Office Supplies,52.480000000000004
2015-06-30,East,Office Supplies,344.056
2015-06-30,South,Office Supplies,310.688
2015-06-30,West,Office Supplies,32.4
2015-07-01,South,Office Supplies,5.184
2015-07-01,South,Technology,575.92
2015-07-01,West,Office Supplies,19.92
2015-07-02,East,Technology,73.98
2015-07-02,East,Office Supplies,5.58
2015-07-04,South,Office Supplies,37.44
2015-07-04,West,Office Supplies,209.96800000000002
2015-07-05,Central,Office Supplies,502.2
2015-07-05,South,Furniture,232.73600000000002
2015-07-05,South,Office Supplies,48.238
2015-07-05,South,Technology,479.97
2015-07-05,West,Office Supplies,180.96
2015-07-06,East,Technology,559.992
2015-07-06,West,Furniture,478.48
2015-07-07,East,Furniture,241.19400000000002
2015-07-08,West,Office Supplies,196.704
2015-07-08,West,Furniture,502.488
2015-07-08,East,Furniture,63.882
2015-07-09,Central,Office Supplies,24.72
2015-07-09,West,Furniture,119.833
2015-07-09,West,Office Supplies,120.968
2015-07-11,Central,Office Supplies,10.368
2015-07-11,Central,Technology,575.968
2015-07-11,East,Furniture,979.0500000000001
2015-07-11,East,Office Supplies,259.0
2015-07-11,East,Technology,197.97
2015-07-12,West,Technology,255.936
2015-07-12,West,Office Supplies,268.726
2015-07-12,West,Furniture,821.4879999999999
2015-07-12,Central,Furniture,512.358
2015-07-12,Central,Office Supplies,77.664
2015-07-12,Central,Technology,23.84
2015-07-13,West,Furniture,351.216
2015-07-14,East,Technology,37.482
2015-07-14,West,Office Supplies,55.92
2015-07-14,East,Office Supplies,99.004
2015-07-14,East,Furniture,31.984
2015-07-14,Central,Technology,38.272
2015-07-14,Central,Office Supplies,29.932
2015-07-15,Central,Office Supplies,6.54
2015-07-15,Central,Technology,2.97
2015-07-18,East,Office Supplies,13.904
2015-07-18,West,Furniture,259.136
2015-07-19,West,Office Supplies,6.096
2015-07-19,East,Technology,359.98
2015-07-19,East,Furniture,70.56
2015-07-19,East,Office Supplies,24.689999999999998
2015-07-20,Central,Furniture,998.112
2015-07-20,Central,Office Supplies,342.864
2015-07-20,East,Office Supplies,53.344
2015-07-20,West,Furniture,43.02
2015-07-20,West,Office Supplies,806.506
2015-07-20,West,Technology,41.94
2015-07-21,West,Office Supplies,99.2
2015-07-21,West,Furniture,1074.416
2015-07-21,Central,Technology,35.98
2015-07-21,Central,Office Supplies,93.956
2015-07-21,Central,Furniture,657.93
2015-07-22,Central,Office Supplies,26.632
2015-07-22,East,Office Supplies,5.96
2015-07-22,East,Technology,159.98
2015-07-22,West,Furniture,888.072
2015-07-22,West,Office Supplies,267.7
2015-07-23,East,Technology,99.98
2015-07-23,West,Office Supplies,58.1
2015-07-23,West,Technology,2455.1040000000003
2015-07-25,West,Furniture,77.92
2015-07-25,West,Office Supplies,8263.369999999999
2015-07-26,West,Furniture,808.362
2015-07-26,South,Office Supplies,162.89
2015-07-26,South,Furniture,93.59
2015-07-26,West,Technology,1194.884
2015-07-26,Central,Office Supplies,2331.636
2015-07-26,Central,Furniture,17.496
2015-07-26,Central,Technology,431.136
2015-07-27,East,Office Supplies,65.78
2015-07-27,West,Office Supplies,276.28
2015-07-27,West,Technology,238.0
2015-07-28,South,Furniture,129.888
2015-07-28,South,Office Supplies,63.264
2015-07-30,West,Furniture,1367.84
2015-08-01,West,Office Supplies,19.752
2015-08-01,South,Office Supplies,158.768
2015-08-01,South,Furniture,44.128
2015-08-01,East,Office Supplies,5.68
2015-08-02,Central,Office Supplies,865.08
2015-08-02,Central,Technology,21.2
2015-08-03,East,Office Supplies,163.62
2015-08-03,West,Furniture,218.75
2015-08-03,West,Office Supplies,95.624
2015-08-04,West,Office Supplies,1726.074
2015-08-04,East,Office Supplies,361.7
2015-08-04,East,Technology,255.42
2015-08-04,West,Technology,399.96
2015-08-05,West,Technology,16.36
2015-08-05,West,Office Supplies,193.66
2015-08-05,West,Furniture,340.144
2015-08-05,East,Furniture,1133.35
2015-08-05,East,Office Supplies,99.99
2015-08-05,East,Technology,135.99
2015-08-05,Central,Furniture,489.23
2015-08-06,East,Technology,199.98
2015-08-06,South,Technology,62.91
2015-08-08,West,Office Supplies,499.4
2015-08-08,West,Furniture,449.13599999999997
2015-08-08,South,Furniture,155.456
2015-08-08,West,Technology,1741.912
2015-08-08,Central,Office Supplies,205.875
2015-08-08,Central,Furniture,53.88
2015-08-08,Central,Technology,849.97
2015-08-09,South,Office Supplies,15.552
2015-08-09,South,Technology,178.384
2015-08-09,West,Office Supplies,2101.4130000000005
2015-08-09,West,Technology,1310.3359999999998
2015-08-11,East,Office Supplies,375.34
2015-08-11,West,Furniture,12.35
2015-08-11,West,Office Supplies,63.93
2015-08-12,West,Technology,806.336
2015-08-12,West,Furniture,85.44
2015-08-12,South,Technology,158.928
2015-08-12,South,Office Supplies,298.816
2015-08-12,East,Office Supplies,196.21
2015-08-15,Central,Office Supplies,30.96
2015-08-15,East,Office Supplies,62.94
2015-08-15,South,Office Supplies,243.60000000000002
2015-08-16,East,Furniture,853.092
2015-08-17,Central,Office Supplies,15.552
2015-08-17,South,Office Supplies,144.83
2015-08-17,South,Technology,339.96
2015-08-19,West,Office Supplies,69.456
2015-08-19,West,Furniture,289.24
2015-08-19,East,Office Supplies,96.67999999999999
2015-08-19,South,Furniture,638.82
2015-08-19,South,Office Supplies,344.91
2015-08-20,Central,Furniture,421.372
2015-08-20,South,Furniture,500.24
2015-08-20,South,Office Supplies,917.11
2015-08-22,South,Office Supplies,7.632
2015-08-22,East,Office Supplies,3.912
2015-08-22,Central,Office Supplies,11.56
2015-08-23,Central,Office Supplies,19.44
2015-08-23,East,Office Supplies,71.84
2015-08-23,West,Furniture,4.224
2015-08-23,West,Office Supplies,326.08000000000004
2015-08-23,West,Technology,143.64
2015-08-24,East,Furniture,13.28
2015-08-24,East,Office Supplies,12.672
2015-08-24,South,Office Supplies,25.5
2015-08-24,West,Office Supplies,8.288
2015-08-25,West,Technology,1103.0439999999999
2015-08-25,West,Office Supplies,74.76
2015-08-25,Central,Office Supplies,38.064
2015-08-25,East,Office Supplies,229.502
2015-08-25,West,Furniture,6.28
2015-08-26,East,Furniture,10.68
2015-08-26,East,Office Supplies,29.36
2015-08-26,East,Technology,149.97
2015-08-26,West,Technology,176.8
2015-08-27,West,Technology,213.48
2015-08-27,West,Office Supplies,31.28
2015-08-27,South,Furniture,1232.06
2015-08-27,South,Office Supplies,13.36
2015-08-27,South,Technology,579.95
2015-08-29,South,Furniture,174.0585
2015-08-29,South,Office Supplies,534.984
2015-08-29,West,Office Supplies,123.28
2015-08-30,East,Office Supplies,121.24
2015-08-31,West,Technology,92.52
2015-09-01,Central,Office Supplies,34.752
2015-09-01,East,Office Supplies,23.744
2015-09-01,East,Technology,357.0
2015-09-01,West,Office Supplies,53.94
2015-09-02,South,Office Supplies,1793.98
2015-09-02,Central,Technology,1275.63
2015-09-02,East,Furniture,70.71
2015-09-02,East,Office Supplies,113.83
2015-09-03,East,Office Supplies,14.4
2015-09-03,Central,Office Supplies,7.68
2015-09-05,East,Office Supplies,264.32
2015-09-05,South,Furniture,31.984
2015-09-06,West,Furniture,41.88
2015-09-06,West,Office Supplies,58.48
2015-09-07,Central,Furniture,1672.225
2015-09-07,Central,Office Supplies,454.452
2015-09-07,Central,Technology,348.314
2015-09-07,East,Furniture,42.368
2015-09-07,East,Office Supplies,64.784
2015-09-07,East,Technology,809.892
2015-09-07,West,Office Supplies,131.84
2015-09-08,West,Technology,49.98
2015-09-08,West,Office Supplies,879.848
2015-09-08,West,Furniture,975.92
2015-09-08,South,Office Supplies,45.0
2015-09-08,South,Technology,326.82
2015-09-08,East,Furniture,172.764
2015-09-08,East,Office Supplies,20.3
2015-09-08,Central,Technology,8303.928
2015-09-08,Central,Office Supplies,747.108
2015-09-08,Central,Furniture,2706.76
2015-09-09,East,Technology,200.21999999999997
2015-09-09,East,Office Supplies,1564.8579999999997
2015-09-09,South,Technology,1299.99
2015-09-09,Central,Office Supplies,114.496
2015-09-09,East,Furniture,864.024
2015-09-10,East,Furniture,254.9
2015-09-10,East,Office Supplies,81.92
2015-09-10,South,Office Supplies,9.64
2015-09-10,West,Furniture,1487.04
2015-09-10,West,Office Supplies,21.728
2015-09-11,West,Furniture,127.95
2015-09-12,East,Technology,69.99
2015-09-12,South,Technology,15.216
2015-09-12,East,Office Supplies,63.924
2015-09-12,South,Office Supplies,177.208
2015-09-12,Central,Technology,57.4
2015-09-12,Central,Office Supplies,695.0699999999999
2015-09-12,East,Furniture,3785.292
2015-09-12,Central,Furniture,40.56
2015-09-13,West,Technology,462.94
2015-09-13,West,Furniture,14.19
2015-09-13,South,Office Supplies,18.648
2015-09-13,West,Office Supplies,164.0
2015-09-13,East,Office Supplies,23.514
2015-09-13,Central,Furniture,340.116
2015-09-13,East,Technology,252.0
2015-09-14,Central,Furniture,9.96
2015-09-14,Central,Office Supplies,94.056
2015-09-14,East,Furniture,464.292
2015-09-14,East,Office Supplies,1174.8
2015-09-14,East,Technology,3104.92
2015-09-14,South,Furniture,155.52800000000002
2015-09-14,South,Office Supplies,20.16
2015-09-15,East,Furniture,118.49600000000001
2015-09-15,East,Office Supplies,14.94
2015-09-16,East,Office Supplies,33.552
2015-09-17,East,Office Supplies,5.892
2015-09-17,South,Office Supplies,4.624
2015-09-17,South,Technology,47.984
2015-09-17,West,Furniture,35.34
2015-09-17,West,Office Supplies,640.838
2015-09-17,West,Technology,85.845
2015-09-19,West,Office Supplies,105.35
2015-09-19,South,Technology,2624.985
2015-09-19,West,Furniture,73.915
2015-09-19,East,Furniture,887.103
2015-09-19,Central,Technology,5579.9400000000005
2015-09-19,South,Office Supplies,67.344
2015-09-20,Central,Furniture,1111.13
2015-09-20,Central,Technology,11.12
2015-09-20,East,Furniture,1960.5100000000002
2015-09-20,East,Office Supplies,106.16000000000001
2015-09-20,East,Technology,2039.8400000000001
2015-09-20,South,Office Supplies,2.816
2015-09-20,West,Office Supplies,104.392
2015-09-21,West,Technology,2286.338
2015-09-21,West,Office Supplies,211.3
2015-09-21,East,Office Supplies,104.76
2015-09-21,Central,Office Supplies,68.71000000000001
2015-09-21,Central,Furniture,8.544
2015-09-22,Central,Office Supplies,331.536
2015-09-22,East,Furniture,676.9680000000001
2015-09-22,East,Office Supplies,17.024
2015-09-22,South,Office Supplies,4.608
2015-09-22,West,Office Supplies,210.13
2015-09-23,West,Technology,83.984
2015-09-23,West,Furniture,435.999
2015-09-23,East,Office Supplies,242.164
2015-09-23,Central,Office Supplies,9900.19
2015-09-24,West,Office Supplies,211.96
2015-09-25,Central,Furniture,300.5328
2015-09-25,Central,Office Supplies,39.78
2015-09-25,West,Office Supplies,14.576
2015-09-26,West,Office Supplies,329.56
2015-09-26,West,Furniture,731.12
2015-09-26,East,Technology,3.152
2015-09-26,East,Furniture,21.184
2015-09-26,Central,Office Supplies,0.876
2015-09-26,East,Office Supplies,240.898
2015-09-27,East,Furniture,87.54
2015-09-27,West,Furniture,603.92
2015-09-27,West,Office Supplies,81.98
2015-09-28,South,Office Supplies,106.944
2015-09-28,East,Office Supplies,46.26
2015-09-28,South,Furniture,337.088
2015-09-29,West,Technology,686.32
2015-09-29,West,Office Supplies,895.178
2015-09-29,East,Furniture,593.808
2015-09-29,East,Office Supplies,3374.184
2015-09-29,West,Furniture,2559.58
2015-09-30,South,Office Supplies,84.768
2015-09-30,East,Furniture,15.24
2015-09-30,East,Office Supplies,844.348
2015-09-30,West,Office Supplies,43.176
2015-10-01,West,Office Supplies,4.71
2015-10-02,West,Technology,555.936
2015-10-02,West,Office Supplies,42.208
2015-10-03,Central,Furniture,290.055
2015-10-03,Central,Office Supplies,26.131999999999998
2015-10-03,East,Office Supplies,70.464
2015-10-03,East,Technology,142.488
2015-10-03,South,Office Supplies,67.75999999999999
2015-10-03,West,Furniture,265.784
2015-10-04,East,Furniture,589.41
2015-10-04,West,Office Supplies,139.338
2015-10-05,West,Technology,99.98
2015-10-05,East,Office Supplies,91.92
2015-10-06,Central,Office Supplies,401.7
2015-10-06,East,Office Supplies,83.92
2015-10-06,West,Technology,9.09
2015-10-07,Central,Office Supplies,107.44
2015-10-07,East,Furniture,129.92
2015-10-08,East,Office Supplies,123.92
2015-10-08,South,Technology,23.472
2015-10-09,West,Technology,15.992
2015-10-09,West,Office Supplies,144.6
2015-10-09,South,Office Supplies,88.768
2015-10-10,Central,Office Supplies,12.878
2015-10-10,Central,Technology,1475.896
2015-10-10,East,Office Supplies,18.264
2015-10-10,East,Technology,101.994
2015-10-10,West,Furniture,169.224
2015-10-10,West,Office Supplies,271.13
2015-10-11,West,Technology,345.0
2015-10-11,West,Office Supplies,39.56
2015-10-11,West,Furniture,497.038
2015-10-11,South,Furniture,8.92
2015-10-11,East,Office Supplies,483.336
2015-10-11,South,Office Supplies,7.31
2015-10-12,Central,Office Supplies,22.24
2015-10-12,West,Office Supplies,36.29
2015-10-13,West,Furniture,1298.55
2015-10-13,West,Technology,25.78
2015-10-13,South,Technology,22.96
2015-10-13,West,Office Supplies,225.44
2015-10-13,East,Office Supplies,26.692
2015-10-13,South,Office Supplies,366.78
